cycle,F_total,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,radius_ratio,Lx,Ly,shear,accepted_cycle,ran_box,ran_surgery
61,1.76047505436019783e-02,6.48679637698776346e-02,4.51604846175458208e-02,4.70233473501664098e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.22857815613631632e-01,1.57158059650220228e-01,3.99951637662866810e+00,3.25530048645033077e+01,3.30786759735782709e+01,0.00000000000000000e+00,1,0,0
62,1.76895547275093337e-02,6.45827763587262793e-02,4.51604846175458000e-02,4.65675312888436596e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.26260308318857545e-01,1.58970744048563706e-01,3.99951637662866810e+00,3.25530048645033077e+01,3.30786759735782709e+01,0.00000000000000000e+00,1,0,0
63,1.76895547275093337e-02,6.45827763587262793e-02,4.51604846175458000e-02,4.65675312888436596e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.26260308318857545e-01,1.58970744048563706e-01,3.99951637662866810e+00,3.25530048645033077e+01,3.30786759735782709e+01,0.00000000000000000e+00,0,0,0
64,1.77773081465602209e-02,6.43016955353422487e-02,4.51604846175458000e-02,4.61217967262237682e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.29667970183168396e-01,1.60744782140531894e-01,3.99951637662866810e+00,3.25530048645033077e+01,3.30786759735782709e+01,0.00000000000000000e+00,1,0,0
65,1.78647334498126115e-02,6.39959986307445106e-02,4.51604846175458069e-02,4.56462578608666236e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.33162047310391252e-01,1.63106423030578318e-01,3.99951637662866810e+00,3.25387699900744067e+01,3.30931470429795382e+01,0.00000000000000000e+00,1,1,0
66,1.79585436171391492e-02,6.37145564770897344e-02,4.51604846175458208e-02,4.52123645118055820e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.36615168735016035e-01,1.64835548386321307e-01,3.99951637662866810e+00,3.25387699900744067e+01,3.30931470429795382e+01,0.00000000000000000e+00,1,0,0
67,1.80550017503843668e-02,6.34391125932501215e-02,4.51604846175458347e-02,4.47919082476673641e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.40058045811157389e-01,1.66511004795000028e-01,3.99951637662866810e+00,3.25387699900744067e+01,3.30931470429795382e+01,0.00000000000000000e+00,1,0,0
68,1.81531290935003260e-02,6.31701789116445311e-02,4.51604846175458069e-02,4.43859381230088737e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.43468734329791769e-01,1.68108991351977100e-01,3.99951637662866810e+00,3.25387699900744067e+01,3.30931470429795382e+01,0.00000000000000000e+00,1,0,0
69,1.82531985336477007e-02,6.29067493258215343e-02,4.51604846175458138e-02,4.39959590648327722e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.46848806693744510e-01,1.69630852765656703e-01,3.99951637662866810e+00,3.25387699900744067e+01,3.30931470429795382e+01,0.00000000000000000e+00,1,0,0
70,1.83528796494583993e-02,6.26347203229121602e-02,4.51604846175458208e-02,4.35924974187501466e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.50255972323186582e-01,1.71560059008766030e-01,3.99951637662866810e+00,3.25278425669148774e+01,3.31042643748676042e+01,0.00000000000000000e+00,1,1,1
