phi,seed,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,valid_torus,degree_radius_corr,regime
9.20000000000000040e-01,5,9.66480754780613543e-02,7.08299787407631332e-02,9.20126950464370541e-02,5.05714712159417989e-01,9.46504660944501950e+01,1.35351545309229576e-01,4.66512778484271473e-01,1.55393694942740734e+00,1.79522818602835255e-01,1,8.32186137969979089e-01,high_sum_high_shape
8.19999999999999951e-01,6,1.42405037741329371e-01,8.59822246251445432e-02,1.38139542432451246e-01,6.07369614851547390e-01,1.32807017522217507e+02,1.69381791392155756e-01,5.41124825879216398e-01,3.49125534087664794e-13,1.40897919109761460e-07,1,8.09830908141437877e-01,high_sum_high_shape
8.29999999999999960e-01,6,1.40857529453354696e-01,8.47141536772519910e-02,1.34997359898367392e-01,6.04275596302644602e-01,1.24183000596320255e+02,1.62338915735807443e-01,5.25035440134515641e-01,1.60537164326133046e-09,7.73543373133733780e-06,1,7.71629811099527441e-01,high_sum_high_shape
8.39999999999999969e-01,6,1.26664012513946461e-01,7.15219014609094206e-02,1.27694417766760576e-01,5.18406604029885698e-01,1.20532326601349638e+02,1.39778336905756917e-01,5.77424015758678744e-01,1.46609268791249889e-03,6.34376904322353496e-03,1,8.19119533748135953e-01,high_sum_high_shape
8.49999999999999978e-01,6,1.10491159346789103e-01,7.17031873631908817e-02,1.12869854497384667e-01,5.34051142541916102e-01,8.50966838570218300e+01,1.39185177729662435e-01,3.97759348435707816e-01,1.02779123949576223e-02,2.01578273056584045e-02,1,7.94109558376084990e-01,high_sum_high_shape
8.59999999999999987e-01,6,1.04286698928237984e-01,6.16499891974996023e-02,1.07748127730659018e-01,4.45768482774226427e-01,7.03127555872372341e+01,1.22954599532902289e-01,3.61943240865280458e-01,4.60893867508828867e-02,4.03028610595441705e-02,1,8.40616977472984916e-01,high_sum_high_shape
8.69999999999999996e-01,6,1.05827315908748984e-01,7.29752022987312232e-02,1.05723438843073114e-01,5.35073764233127913e-01,1.10381559262248089e+02,1.43887337701353535e-01,5.18855112352818892e-01,1.76952476984100299e-01,7.61701570974171460e-02,1,8.21350631854461333e-01,high_sum_high_shape
8.80000000000000004e-01,6,9.82838761364683150e-02,6.52312883381934022e-02,9.85542459512800673e-02,4.76370734880590119e-01,1.32248088712864131e+02,1.34300669671737982e-01,6.39206313982397578e-01,3.29777464623753069e-01,9.21263603161661671e-02,1,8.56464074103691297e-01,high_sum_high_shape
8.90000000000000013e-01,6,9.99709464676761250e-02,7.15785246720787999e-02,1.01153444675772766e-01,4.96371863802878899e-01,7.71395292214982220e+01,1.32063309135913826e-01,3.73881035144073781e-01,5.36754509487465614e-01,9.86156555626875875e-02,1,8.22374476962787537e-01,high_sum_high_shape
9.00000000000000022e-01,6,9.34156814330827229e-02,6.89442264798213744e-02,9.03716689084813063e-02,4.95171327254356641e-01,9.07925876861274901e+01,1.32719730894420546e-01,4.54182473795777197e-01,8.26036911261667228e-01,1.37303532929429650e-01,1,8.32470999753155749e-01,high_sum_high_shape
9.10000000000000031e-01,6,9.09077446516641796e-02,6.36781391479573494e-02,9.05207956469473718e-02,4.46829344134571649e-01,6.59870018134002549e+01,1.20689985337294983e-01,3.40696664031365171e-01,1.10812781745958011e+00,1.47202361872745158e-01,1,8.50383285132445432e-01,high_sum_high_shape
